title,price(tk),special_price(tk),emi,reviews,product_id,ram,storage,generation,graphics_memory,processor_type,display_size(inch)
Apple MacBook Pro (Late 2021) Apple M1 Max Chip 1TB SSD 14.2 Inch Liquid Retina XDR Display Space Gray Laptop #Z15H00107,"422,070","390,000","Monthly EMI Tk 35,173", 1 reviews ,33.03.005.271,32GB,1TB SSD,Not Applicable,Shared,Apple M1,14.2
Apple MacBook Pro (Late 2021) Apple M1 Max (10-Core) Chip 14.2 Inch Liquid Retina XDR Display Space Gray Laptop #Z15G0018R,"398,200","368,000","Monthly EMI Tk 33,183", 1 reviews ,33.03.005.227,32GB,1TB SSD,Not Applicable,Shared,Apple M1,14.2
Apple MacBook Pro (Late 2021) Apple M1 Pro Chip 16.2 Inch Liquid Retina XDR Display Silver Laptop #Z14Z00105,"404,710","374,000","Monthly EMI Tk 33,726", 1 reviews ,33.03.005.272,32GB,1TB SSD,Not Applicable,Shared,Apple M1,16.2
Apple MacBook Pro (Late 2021) Apple M1 Pro (10-Core) Chip 14.2 Inch Liquid Retina XDR Display Space Gray Laptop #Z15H000PA / Z15G0018Q,"377,580","350,000","Monthly EMI Tk 31,465", 1 reviews ,33.03.005.225,32GB,1TB SSD,Not Applicable,Shared,Apple M1,14.2
"Apple MacBook Pro (Late 2021) Apple M1 Max Chip 4TB SSD Space Gray Laptop #MK233LL/A, Z14X000CS","671,620","620,000","Monthly EMI Tk 55,968", 1 reviews ,33.03.005.269,64GB,4TB SSD,Not Applicable,Shared,Apple M1,16.2
Microsoft Surface Laptop 4 Intel Core i7 1185G7 15 Inch Pixelsense Multi Touch Display Matte Black Surface Laptop #5IT-00002,"198,560","184,000","Monthly EMI Tk 16,547", 1 reviews ,33.03.191.264,16GB,512GB SSD,11th (Intel),Shared,Core i7,15
Asus ProArt StudioBook 16 H5600QR AMD Ryzen 9 5900HX 16 Inch WQUXGA OLED Display Star Black Laptop #L2193W-H5600QR,"359,140","333,000","Monthly EMI Tk 29,928",,33.03.006.1611,32GB,1TB SSD,Not Applicable,8GB,Ryzen 9,16
Asus ROG Flow X13 GV301QE AMD Ryzen 9 5980HS 13.4 Inch WUXGA Touch Display OFF-Black Gaming Laptop #K6058T-GV301QE,"356,970","330,000","Monthly EMI Tk 29,748", 8 reviews ,33.02.006.1373,32GB,1TB SSD,Not Applicable,4GB & 16GB,Ryzen 9,13.4
"Apple MacBook Air (2022) Apple M2 Chip 13.6 Inch Liquid Retina Display Midnight MacBook #Z1610005L, Z1610000E","341,780","320,000","Monthly EMI Tk 28,482", 1 reviews ,33.03.005.263,24GB,2TB SSD,Not Applicable,Shared,Apple M2,13.6
Apple MacBook Pro (Late 2021) Apple M1 Pro 14.2 Inch Liquid Retina XDR Display Space Gray Laptop #Z15G001WY / Z15G0018N,"340,690","315,000","Monthly EMI Tk 28,391", 1 reviews ,33.03.005.234,32GB,1TB SSD,Not Applicable,Shared,Apple M1,14.2
Asus ProArt StudioBook 16 H5600QM AMD Ryzen 9 5900HX 16 Inch 4K WQUXGA OLED Display Star Black Laptop #L2252W-H5600QM,"325,500","302,000","Monthly EMI Tk 27,125",,33.03.006.1610,32GB,1TB SSD,Not Applicable,6GB,Ryzen 9,16
Microsoft Surface Laptop Studio Intel Core i7 11370H 14.4 Inch Pixelsense Flow Multi Touch Display Platinum Surface Laptop #ABY-00001,"317,910","294,000","Monthly EMI Tk 26,493", 1 reviews ,33.03.191.308,32GB,1TB SSD,11th (Intel),4GB,Core i7,14.4
